"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","367","test_people_request_ID_1","","Sat Mar 01 15:54:24 MSK 2025","passed","Sat Mar 01 15:54:24 MSK 2025","TestSwapi","test_swapi","",""
"","455","test_films_request_ID_1","","Sat Mar 01 15:54:25 MSK 2025","passed","Sat Mar 01 15:54:26 MSK 2025","TestSwapi","test_swapi","",""
"","684","test_main_page","","Sat Mar 01 15:54:23 MSK 2025","passed","Sat Mar 01 15:54:24 MSK 2025","TestSwapi","test_swapi","",""
"","299","test_films_page","","Sat Mar 01 15:54:25 MSK 2025","passed","Sat Mar 01 15:54:25 MSK 2025","TestSwapi","test_swapi","",""
"","854","test_species_request_ID_1","","Sat Mar 01 15:54:26 MSK 2025","passed","Sat Mar 01 15:54:27 MSK 2025","TestSwapi","test_swapi","",""
"","371","test_starships_request_ID_9","","Sat Mar 01 15:54:28 MSK 2025","passed","Sat Mar 01 15:54:28 MSK 2025","TestSwapi","test_swapi","",""
"","267","test_species_page","","Sat Mar 01 15:54:26 MSK 2025","passed","Sat Mar 01 15:54:26 MSK 2025","TestSwapi","test_swapi","",""
"","276","test_people_page","","Sat Mar 01 15:54:24 MSK 2025","passed","Sat Mar 01 15:54:24 MSK 2025","TestSwapi","test_swapi","",""
"","272","test_planets_page","","Sat Mar 01 15:54:24 MSK 2025","passed","Sat Mar 01 15:54:25 MSK 2025","TestSwapi","test_swapi","",""
"","361","test_vehicles_request_ID_4","","Sat Mar 01 15:54:27 MSK 2025","passed","Sat Mar 01 15:54:28 MSK 2025","TestSwapi","test_swapi","",""
"","273","test_vehicles_page","","Sat Mar 01 15:54:27 MSK 2025","passed","Sat Mar 01 15:54:27 MSK 2025","TestSwapi","test_swapi","",""
"","364","test_planets_request_ID_1","","Sat Mar 01 15:54:25 MSK 2025","passed","Sat Mar 01 15:54:25 MSK 2025","TestSwapi","test_swapi","",""
"","270","test_starships_page","","Sat Mar 01 15:54:28 MSK 2025","passed","Sat Mar 01 15:54:28 MSK 2025","TestSwapi","test_swapi","",""
